"","user_id","screen_name","user_location","followers_count","statuses_count","user_time_zone","lang","month","year","friends_count"
"92",1914760610,"ravenicholson","NYC",807,1645,"Eastern Time (US & Canada)","en","Sep","2013",860
"93",2233297178,"arturburanof","Москва, Россия",405,1350,"Yerevan","ru","Dec","2013",1628
"94",2388391757,"boryabuchin","Москва, Россия",108,1357,"Baku","ru","Mar","2014",215
"95",2404145297,"puddin_leto","",81,1310,"Moscow","ru","Mar","2014",85
"96",2415525154,"tezaharov","Москва, Россия",2111,586,"Volgograd","ru","Mar","2014",69
"97",2419886435,"valeyina_dm","Мурманск",2466,1312,"Moscow","ru","Mar","2014",811
"98",2422793627,"bogdankravcov","Санкт-Петербург",2741,1619,"Baku","ru","Mar","2014",1564
"99",2478383999,"_sashalapin","",2219,1237,"Volgograd","ru","Apr","2014",679
"100",2484642526,"warfareww","",23876,2618,"St. Petersburg","en","Apr","2014",7481
"101",2491081213,"wadeharriot","USA",1363,3089,"Eastern Time (US & Canada)","en","May","2014",1040
"102",2492948562,"jadonhutchinson","USA",888,2139,"Eastern Time (US & Canada)","en","May","2014",1234
"103",2494509505,"kotovamarys","Калининград, Россия",4515,747,"Volgograd","ru","May","2014",62
"104",2495567768,"dailysanfran","San Francisco, CA",16812,32546,"Pacific Time (US & Canada)","en","May","2014",5128
"105",2498271878,"interfischer","United States",1609,1033,"Eastern Time (US & Canada)","en","May","2014",1828
"106",2501947239,"taisiaavdeeva","Москва, Россия",2535,937,"Volgograd","ru","Apr","2014",279
"107",2504171440,"patriotka_rusi","Москва",75,548,"Moscow","ru","Apr","2014",87
"108",2512420407,"russilanrogov","Калуга, Россия",4507,657,"Volgograd","ru","Apr","2014",75
"109",2512994207,"rusnevrotik","",97,1912,"Moscow","ru","Apr","2014",120
"110",2514979491,"razvedchica_","Я везде",2360,1135,"Volgograd","ru","Apr","2014",549
"111",2524942055,"ponomarevslav","Москва, Россия",76,490,"Moscow","ru","May","2014",274
"112",2525032463,"viborisova","Ярославль, Россия",2513,594,"Volgograd","ru","May","2014",189
"113",2527537955,"chernenkonikola","Москва",2233,1243,"Volgograd","ru","May","2014",243
"114",2527804618,"romanagafonovv","Москва, Россия",2452,835,"Moscow","ru","May","2014",379
"115",2527983201,"stepansazono","Питер",2204,529,"Volgograd","ru","May","2014",202
"116",2528245959,"vasilichvasili","Москва",2495,938,"Volgograd","ru","May","2014",192
"117",2528293132,"erofeenkoanton","Moscow",2189,701,"Volgograd","ru","May","2014",252
"118",2530603456,"aleksey_sokol_","Москва",337,2669,"Yerevan","ru","May","2014",1702
"119",2531159968,"traceyhappymom","Washington, DC",3696,4655,"Eastern Time (US & Canada)","en","May","2014",3353
"120",2532597577,"bruciedublin","USA",2161,2995,"Eastern Time (US & Canada)","en","May","2014",1807
"121",2532611755,"kathiemrr","Atlanta",2970,4267,"Eastern Time (US & Canada)","en","May","2014",3157
"122",2533001646,"jasper_fly","USA",1957,3379,"Eastern Time (US & Canada)","en","May","2014",1782
"123",2533653547,"evagreen69","USA",2668,1831,"Eastern Time (US & Canada)","en","May","2014",2884
"124",2533984805,"romangorolov","Чита",2452,1080,"Moscow","ru","May","2014",119
"125",2534875924,"6druz","",70,2024,"Moscow","ru","May","2014",11
"126",2535166748,"paolakinck","USA",2145,3518,"Eastern Time (US & Canada)","en","May","2014",2956
"127",2535218881,"heyheyhailey","Atlanta",1857,2035,"Eastern Time (US & Canada)","en","May","2014",1539
"128",2535353390,"calebpaar","Atlanta",1374,2983,"Eastern Time (US & Canada)","en","May","2014",1698
"129",2535818742,"happkendrahappy","New York",1688,2746,"Eastern Time (US & Canada)","en","May","2014",1307
"130",2536146374,"dannythehappies","Atlanta, Georgia",1857,2191,"Eastern Time (US & Canada)","en","May","2014",1548
"131",2537592520,"kolradskiy_zhuk","Барнаул, Россия",2412,795,"Moscow","ru","May","2014",106
"132",2538941639,"sovasof","",168,1158,"Volgograd","ru","May","2014",151
"133",2540596597,"holycrapchrix","Atlanta, GA",2456,4237,"Eastern Time (US & Canada)","en","Jun","2014",2134
"134",2540758755,"stanley_cox_","USA",2508,1410,"Central Time (US & Canada)","en","May","2014",2859
"135",2540882036,"heyits_toby","US",1424,1396,"Eastern Time (US & Canada)","en","Jun","2014",1676
"136",2541215075,"gvardeykalena","Санкт-Петербург",2160,549,"Moscow","ru","May","2014",50
"137",2541945841,"mr_clampin","Atlanta",2011,3777,"Eastern Time (US & Canada)","en","Jun","2014",1770
"138",2547141851,"chicagodailynew","Chicago, IL",19525,39293,"Central Time (US & Canada)","en","May","2014",7063
"139",2547539571,"msm0re","",126,1083,"Volgograd","ru","May","2014",145
"140",2559217373,"alexsvladimirov","Москва",2211,620,"Volgograd","ru","May","2014",71
"141",2559850571,"lapinolegg","Москва, Россия",83,432,"Volgograd","ru","May","2014",129
"142",2563274242,"sovetnikstatski","Москва",2147,978,"Volgograd","ru","May","2014",373
"143",2568897527,"sergbriantsev","Москва",51,1280,"Yerevan","ru","May","2014",3
"144",2569229674,"loragreeen","New - York",4009,5867,"Eastern Time (US & Canada)","en","May","2014",3363
"145",2570017414,"onlinememphis","Memphis, TN",18704,4223,"Central Time (US & Canada)","en","May","2014",5751
"146",2570250275,"aiden7757","USA",1794,2284,"Eastern Time (US & Canada)","en","May","2014",1527
"147",2570631118,"politweecs","United States",32846,559,"Central Time (US & Canada)","en","May","2014",25600
"148",2571344730,"shapka_mono","",102,935,"Volgograd","ru","Jun","2014",497
"149",2571870453,"detroitdailynew","Detroit, Michigan",18617,18924,"Central Time (US & Canada)","en","May","2014",5144
"150",2571997365,"toneporter","USA",1545,2196,"Central Time (US & Canada)","en","May","2014",1408
"151",2572058134,"leroylovesusa","USA",1545,1501,"Eastern Time (US & Canada)","en","May","2014",1321
"152",2572092279,"hipppo_","US",1969,2148,"Eastern Time (US & Canada)","en","May","2014",1855
"153",2574715662,"mihanovikov","Russia",912,765,"Volgograd","ru","Jun","2014",1148
"154",2575046530,"glebnikon","Ростов-на-Дону, Россия",2464,807,"Volgograd","ru","Jun","2014",165
"155",2575471053,"sergeev_tolik","Санкт-Петербург ",2467,956,"Volgograd","ru","Jun","2014",206
"156",2577152109,"denn_nikitin","",87,1479,"Moscow","ru","Jun","2014",70
"157",2578226850,"boriseleseev","Россия",2163,581,"Volgograd","ru","Jun","2014",229
"158",2578422308,"russianallies","Тула, Тульская область",21072,15364,"Abu Dhabi","en","Jun","2014",2926
"159",2579342751,"realrobert1987","USA",1982,1325,"Baku","en","Jun","2014",1834
"160",2584152521,"queenofthewo","Montgomery",1704,2233,"Eastern Time (US & Canada)","en","Jun","2014",1427
"161",2586491520,"bocharnikov_v","Москва, Россия",212,1368,"Nairobi","ru","Jun","2014",1372
"162",2586506586,"alexharritonov","Москва",2231,1257,"Moscow","ru","Jun","2014",136
"163",2587100717,"judelambertusa","USA",1688,1515,"Central Time (US & Canada)","en","Jun","2014",1525
"164",2587843805,"kansasdailynews","Kansas City, MO",25356,42560,"Central Time (US & Canada)","en","Jun","2014",5169
"165",2589353987,"cassieweltch","USA",1710,2455,"Eastern Time (US & Canada)","en","Jun","2014",1415
"166",2590038478,"patriotraphael","USA",1313,1521,"Eastern Time (US & Canada)","en","Jun","2014",1555
"167",2601235821,"todaypittsburgh","Pittsburgh, PA",18917,32006,"Eastern Time (US & Canada)","en","Jun","2014",6350
"168",2604334823,"jarrardnorman","USA",1738,2189,"Eastern Time (US & Canada)","en","Jun","2014",1354
"169",2606301939,"finley1589","USA",1409,4283,"Central Time (US & Canada)","en","Jun","2014",1187
"170",2616344667,"amandavgreen","United States",3557,4461,"Eastern Time (US & Canada)","en","Jun","2014",3303
"171",2620614029,"philadelphiaon","Philadelphia, PA",15904,9725,"Eastern Time (US & Canada)","en","Jun","2014",5890
"172",2620869737,"puredavie","USA",1780,1757,"Eastern Time (US & Canada)","en","Jun","2014",1603
"173",2624554209,"dailylosangeles","Los Angeles, CA",17851,7288,"Pacific Time (US & Canada)","en","Jun","2014",7200
"174",2665564544,"lavrovmuesli","",47080,11798,"Volgograd","ru","Jul","2014",2356
"175",2668171329,"brightandglory","USA",3080,3935,"Eastern Time (US & Canada)","en","Jul","2014",3240
"176",2671070290,"patriotblake","USA",2035,3325,"Eastern Time (US & Canada)","en","Jul","2014",2286
"177",2732675512,"bgarner2107","arkansas",2496,3942,"Eastern Time (US & Canada)","en","Aug","2014",2159
"178",2742482932,"cascaseyp","Boston",1907,2537,"Eastern Time (US & Canada)","en","Aug","2014",1567
"179",2743327187,"washingtonline","Washington, D.C.",31729,28939,"Eastern Time (US & Canada)","en","Aug","2014",12148
"180",2752677905,"todaynycity","New York, NY",60897,42438,"Eastern Time (US & Canada)","en","Aug","2014",5999
"181",2753146444,"onlinecleveland","City of Cleveland, USA",16297,15314,"Central Time (US & Canada)","en","Aug","2014",7621
"182",2753211010,"phoenixdailynew","City of Phoenix, Arizona",14895,19310,"Arizona","en","Aug","2014",5412
"183",2753338899,"sanantotopnews","City of San Antonio, TX",19506,13260,"Central Time (US & Canada)","en","Aug","2014",8167
"184",2882013788,"giselleevns","Pittsburgh, US",24344,18466,"Eastern Time (US & Canada)","en","Oct","2014",21953
"185",2882037326,"danageezus","USA",20941,13591,"Eastern Time (US & Canada)","en","Oct","2014",14773
"186",2882331822,"jenn_abrams","USA",61609,20576,"Eastern Time (US & Canada)","en","Oct","2014",20600
"187",2882350436,"chrixmorgan","USA",18062,10121,"Pacific Time (US & Canada)","en","Oct","2014",9033
"188",2928870434,"newspeakdaily","",5786,10611,"Eastern Time (US & Canada)","en","Dec","2014",874
"189",2943515140,"screamymonkey","",13214,45883,"Pacific Time (US & Canada)","en","Dec","2014",14051
"190",2951556370,"specialaffair","",11237,36058,"Pacific Time (US & Canada)","en","Dec","2014",10072
"191",3071479646,"baltimore0nline","Baltimore, MD",6406,10773,"Eastern Time (US & Canada)","en","Mar","2015",5272
"192",3074563039,"stlouisonline","St Louis, MO",8329,17082,"Eastern Time (US & Canada)","en","Mar","2015",5249
"193",3080829096,"richmondvoice","Richmond, VA",2804,5234,"Eastern Time (US & Canada)","en","Mar","2015",4719
"194",3083086600,"aldrich420","USA",1483,1162,"Eastern Time (US & Canada)","en","Mar","2015",1670
"195",3083844539,"hollydler","",1831,3066,"Eastern Time (US & Canada)","en","Mar","2015",1493
"196",3084088366,"priceforpierce","",2286,1695,"Eastern Time (US & Canada)","en","Mar","2015",2696
"197",3084360275,"mil0blake","USA",1916,1659,"Eastern Time (US & Canada)","en","Mar","2015",1977
"198",3084866039,"devinedevinbr","",1590,1061,"Pacific Time (US & Canada)","en","Mar","2015",1361
"199",3091936475,"newarkvoice","Newark, NJ",4108,11511,"Eastern Time (US & Canada)","en","Mar","2015",3732
"200",3091979410,"batonrougevoice","Baton Rouge, LA",3110,20707,"Eastern Time (US & Canada)","en","Mar","2015",2382
"201",3312143142,"gloed_up","StLouis",19314,28695,"Pacific Time (US & Canada)","en","Aug","2015",10011
"202",3438999494,"worldofhashtags","",7379,21500,"Eastern Time (US & Canada)","en","Sep","2015",5462
"203",3899481526,"todayinsyria","",26430,10162,"London","en","Oct","2015",6100
"204",3978316814,"blackmattersus","",15026,3252,"Pacific Time (US & Canada)","en","Oct","2015",14414
"205",3990577513,"tpartynews","",19976,1649,"Pacific Time (US & Canada)","en","Oct","2015",21908
"206",4036537452,"4mysquad","",4733,1489,"Pacific Time (US & Canada)","en","Oct","2015",4008
"207",4178313619,"blackeyeblog","",4555,1742,"Pacific Time (US & Canada)","en","Nov","2015",5155
"208",4217244274,"blk_voice","",8339,1545,"Pacific Time (US & Canada)","en","Nov","2015",6374
"209",4271904983,"itstimetosecede","All Over Texas",5391,848,"Central Time (US & Canada)","en","Nov","2015",5783
"210",4301962823,"blacknewsoutlet","Black America",11518,1370,"Pacific Time (US & Canada)","en","Nov","2015",6737
"211",4311371968,"rightnpr","",9297,791,"Pacific Time (US & Canada)","en","Nov","2015",7930
"212",4355797094,"southlonestar","Texas, USA",22049,2108,"Pacific Time (US & Canada)","en","Nov","2015",14785
"213",4856706634,"dontshootcom","",4683,757,"Pacific Time (US & Canada)","en","Jan","2016",4612
"214",4859142199,"trayneshacole","",11756,7118,"Pacific Time (US & Canada)","en","Feb","2016",9599
"215",1504356343,"gallowayeliana","USA",1000,1721,"Eastern Time (US & Canada)","en","Jun","2013",939
"216",1512371617,"catelinewatkins","USA",1194,1589,"Eastern Time (US & Canada)","en","Jun","2013",1666
"217",1527133837,"susayung","United States",953,1765,"Eastern Time (US & Canada)","en","Jun","2013",973
"218",1534083420,"taraformation","Atlanta, GA",470,641,"Eastern Time (US & Canada)","en","Jun","2013",517
"219",1621376306,"bigseanbeast","USA",670,1475,"Eastern Time (US & Canada)","en","Jul","2013",780
"220",1623062953,"notballinyet","USA",724,1346,"Eastern Time (US & Canada)","en","Jul","2013",686
